,angry,boredom,disgust,fear,happy,sad,neutral
angry,5,0,1,3,3,0,0
boredom,0,5,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,0,2,2,0
happy,8,0,0,0,0,4,0
sad,0,0,0,0,0,0,4
neutral,0,0,0,0,4,1,7
angry,19,0,0,0,5,0,0
boredom,0,8,0,0,0,0,0
disgust,0,0,12,0,0,0,0
fear,0,0,0,0,0,0,0
happy,0,0,0,0,0,0,0
sad,0,0,0,0,0,8,0
neutral,0,0,0,0,3,0,16
angry,16,0,0,0,0,0,0
boredom,0,7,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,4,0,0,0
happy,0,0,0,0,16,0,0
sad,0,0,0,0,0,7,0
neutral,0,0,0,0,0,0,8
angry,12,0,0,0,0,0,0
boredom,0,10,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,4,0,0,0
happy,0,0,0,0,0,0,0
sad,0,0,0,0,0,5,0
neutral,0,0,0,0,0,0,12
angry,16,0,0,0,0,0,0
boredom,0,12,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,8,0,0,0
happy,0,0,0,0,9,0,0
sad,0,0,0,0,0,12,0
neutral,0,0,0,0,0,0,12
angry,16,0,0,0,0,0,0
boredom,0,3,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,12,0,0,0
happy,0,0,0,0,8,0,0
sad,0,0,0,0,0,8,0
neutral,0,0,0,0,0,0,8
angry,12,0,0,0,0,0,0
boredom,0,4,0,0,0,0,0
disgust,0,0,12,0,0,0,0
fear,0,0,0,0,0,0,0
happy,0,0,0,0,12,0,0
sad,0,0,0,0,0,8,0
neutral,0,0,0,0,0,0,8
angry,12,0,0,0,0,0,0
boredom,0,12,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,4,0,0,0
happy,0,0,0,0,15,0,0
sad,0,0,0,0,0,8,0
neutral,0,0,0,0,0,0,10
angry,8,0,0,0,0,0,0
boredom,0,6,0,0,0,0,0
disgust,0,0,4,0,0,0,0
fear,0,0,0,4,0,0,0
happy,0,0,0,0,0,0,0
sad,0,0,0,0,0,4,0
neutral,0,0,0,0,0,0,12
angry,8,0,0,0,0,0,0
boredom,0,5,0,0,0,0,0
disgust,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0
happy,0,0,0,0,8,0,0
sad,0,0,0,0,0,8,0
neutral,0,0,0,0,0,0,6
